id,name,address,longitude,latitude,district,brand_type,subway_count,bus_count,restaurant_count,competitor_count
B0FFKNVM30,星巴克(万国建筑博览群店),圆明园路88号益丰外滩源(北京东路和园明圆路交界处)益丰外滩源一楼,121.488372,31.240613,黄浦区,国际连锁,1,16,51,35
B0FFLH2TVK,铁手咖啡制造局(metalhands2店),永嘉路37号,121.462683,31.210508,黄浦区,独立/精品,0,5,16,47
B0J32LBSM5,OLD SIX CAFEER,南苏州路1295号(新闸路地铁站1号口步行350米),121.465025,31.240725,黄浦区,独立/精品,1,5,5,12
B0FFJDOSBU,米仓POP PINK,瑞金一路150号1楼,121.46382,31.219093,黄浦区,独立/精品,1,8,37,61
B0HDLMVTDX,Dugout Coffee,福州路与中山东一路交叉口西60米,121.489792,31.235373,黄浦区,独立/精品,0,16,64,18
B00156GXOP,星巴克(外滩店),中山东一路367号,121.49049,31.240238,黄浦区,国际连锁,0,13,47,22
B0LUL5ZQ1R,13DE MARZO(上海新天地店),兴业路123弄6号1楼18单元,121.475038,31.219069,黄浦区,独立/精品,1,22,35,67
B0FFJQ1ND4,METAL HANDS,南昌路234号(淮海中路地铁站2号口步行260米),121.464917,31.217835,黄浦区,独立/精品,1,6,26,60
B00155QFWB,Costa Coffee(上海外滩店),中山东一路387号,121.490517,31.240347,黄浦区,国际连锁,0,12,45,21
B0HBXCQHL0,Peet's Coffee皮爷咖啡(日月光店),徐家汇路618号1层1F-TK06室(田子坊2号门对面),121.469097,31.20749,黄浦区,国际连锁,1,6,25,40
B0J3KCQALK,ideaPod reserved工作咖啡,虎丘路78号一层QL111、2层(香港路与交叉口),121.487513,31.242669,黄浦区,独立/精品,0,13,46,38
B0L6K9D71B,Always Coffee Roaster,九江路501号106室(南京东路地铁站4号口步行100米),121.481847,31.235568,黄浦区,独立/精品,1,23,52,66
B0FFH9H1J5,星巴克(复兴广场店),马当路388号SOHO复兴广场C座1层03,121.47452,31.215839,黄浦区,国际连锁,1,12,27,34
B00155H8RQ,星巴克(大同店),斜徐路593号(打浦桥地铁站2号口步行380米),121.472716,31.206281,黄浦区,国际连锁,1,5,25,36
B0I2LD4IT6,H YDAELYN CAFE(新世界新丸中心店),上海市黄浦区南京东路228号四楼4D-01,121.48596,31.238822,黄浦区,独立/精品,1,21,50,52
B0FFHWI7DJ,星巴克(外滩SOHO店),中山东二路58号外滩SOHO地下1层07室,121.493892,31.230108,黄浦区,国际连锁,0,17,35,19
B0G1PCL3R0,Pushing Coffee(茂名路店),茂名南路137号(陕西南路地铁站4号口步行80米),121.461629,31.217014,黄浦区,独立/精品,2,9,40,79
B0FFFGVNFE,星巴克(来福士办公楼店),西藏中路268号来福士广场办公楼2层大堂L1-02,121.476998,31.232645,黄浦区,国际连锁,1,20,39,77
B00155GO79,星巴克(瑞金路店),瑞金二路101-107号(淮海中路地铁站2号口步行480米),121.465123,31.215163,黄浦区,国际连锁,0,5,15,50
B0G0DXG32G,Manner Coffee(腾飞元创大厦店),九江路686号腾飞元创大厦F1层,121.477592,31.234463,黄浦区,本土连锁,1,20,36,74
B0HBR643YQ,星巴克(BFC外滩金融中心店),中山东二路600号BFC外滩金融中心办公楼S1幢1层东侧,121.498666,31.225559,黄浦区,国际连锁,0,11,20,18
B0IBU5Y4OH,星巴克臻选(外滩中心店),延安东路222号外滩中心大楼一楼(豫园地铁站6号口步行270米),121.487619,31.232549,黄浦区,国际连锁,0,15,50,25
B0FFJ8Z091,luckin coffee 瑞幸咖啡(长江新能源店),九江路675-685号长江新能源大厦1层,121.477585,31.234182,黄浦区,本土连锁,1,20,38,76
B0FFIKC046,Cafe Chez W一木家,香山路32号,121.465084,31.215687,黄浦区,独立/精品,1,5,15,52
B0GUAGBLSZ,Peet's Coffee皮爷咖啡(外滩中央广场店),南京东路123号外滩中央大楼1层Z103,121.487688,31.238202,黄浦区,国际连锁,1,22,66,50
B0FFGJES0R,星巴克(久事大厦店),四川中路213号久事商务大厦一层102室,121.488081,31.23642,黄浦区,国际连锁,1,23,75,52
B00156EVJJ,星巴克(西藏路店),西藏中路289号1楼(人民广场地铁站20号口步行70米),121.474593,31.233311,黄浦区,国际连锁,1,15,38,73
B0HGJOKB7G,村口大树(长乐路366弄小区店),长乐路366弄1-32号幸福公寓,121.461884,31.221102,黄浦区,独立/精品,1,6,41,58
B0K2HZHP1C,Miracle Coffee(上海湖滨道店),湖滨路150号一层L1-E02单元,121.479428,31.221116,黄浦区,独立/精品,1,18,33,42
B0JBYCQQ63,Boardroom,局门路457号103,121.482909,31.202826,黄浦区,独立/精品,0,8,13,16
B0FFKTTCYV,MIKAKU(MINI店),云南北路20号(人民广场地铁站19号口步行400米),121.475291,31.236781,黄浦区,独立/精品,1,17,44,52
B0I0BAA9NZ,coffee by sadside(暂停营业),巨鹿路284-1号(淮海中路地铁站3号口步行480米),121.460712,31.223138,黄浦区,独立/精品,1,10,36,39
B0FFIB7X9Y,堀口咖啡(洛克·外滩源店),圆明园路133号女青年会大楼1层,121.487996,31.241827,黄浦区,独立/精品,0,12,54,37
B0FFKTL9WH,Manner Coffee(上海新天地南北里店),马当路119号103室(新天地),121.474175,31.220825,黄浦区,本土连锁,1,22,32,68
B0GR3KIFZ6,代数学家algebraist(上海新天地店),黄陂南路淮海中路333号B2-22号,121.474094,31.222566,黄浦区,本土连锁,1,26,32,54
B0FFL93WWE,星巴克(上海前社店),西藏南路758号101单元,121.484551,31.215375,黄浦区,国际连锁,2,11,9,14
B0KK5SEL8R,BOY CAFE(思南公馆店),复兴中路507弄2号楼101单元,121.470139,31.2154,黄浦区,独立/精品,1,8,19,30
B0FFJJ1AIJ,Manner Coffee(BFC外滩金融中心店),中山东二路600号北区商场B2层美食区51号地下二层B228b单元,121.497182,31.227444,黄浦区,本土连锁,0,15,26,24
B0JU3YW3R7,瑞幸咖啡(上海第一百货店),南京西路2-68号新世界城四层15号,121.473876,31.235326,黄浦区,本土连锁,1,14,42,60
B0FFHUIBZS,星巴克(香港名都店),河南南路489号香港名都购物中心1层L138-L140单元(近复兴东路),121.489647,31.222864,黄浦区,国际连锁,0,11,10,12
B0FFM89JVG,星巴克(打浦路店),打浦路58号1-2层裙房B区,121.469949,31.204104,黄浦区,国际连锁,1,6,25,36
B0HBXCS49Z,Manner Coffee(日月光店),徐家汇路618号1F-CG02(中庭花园),121.467928,31.206224,黄浦区,本土连锁,1,6,25,37
B0JDDMYCXI,777Cafe,永嘉路15弄4号东,121.464974,31.211365,黄浦区,独立/精品,0,7,13,26
B0H1U7ZI3S,Tims咖啡(世和酒店店),西藏南路1558弄2号101-2室,121.488604,31.203215,黄浦区,国际连锁,1,6,8,11
B0I2MLHVE6,BeanStar比星咖啡(上海人广来福士店),西藏中路268号人广来福士七层07-07室,121.476524,31.232165,黄浦区,本土连锁,1,17,41,72
B0FFKTSQMX,瑞幸咖啡(淮海中华大厦店),人民路885号淮海中华大厦一层103室,121.483349,31.225531,黄浦区,本土连锁,2,12,30,20
B0FFIMXDKS,星巴克(睿园店),斜土东路90号1-2楼,121.490231,31.208322,黄浦区,国际连锁,0,8,5,12
B0I3VOEJP3,分号咖啡(人民广场店),九江路675号长江新能源大厦广西北路门,121.477615,31.23387,黄浦区,独立/精品,1,19,40,76
B0FFGYWWY6,Costa Coffee(上海绿地外滩店),龙华东路868号黄浦绿地缤纷城1楼104-105室,121.472643,31.19253,黄浦区,国际连锁,0,5,6,9
B0FFI33QZU,DOE (新天地店),湖滨路168无限极荟购物中心F1层,121.478219,31.220307,黄浦区,独立/精品,0,21,28,44
B0KDOS8XQ0,FatFaceCoffee(淮海坊店),南昌路340号(陕西南路地铁站4号口步行230米),121.461217,31.215843,黄浦区,独立/精品,1,8,40,74
B0H07H68N3,trova,香港路117号1层101室,121.48567,31.242472,黄浦区,独立/精品,2,13,41,42
B0FFHGJPAX,星巴克(平安滨江金融中心店),蒙自路757号歌斐中心1层106单元,121.481988,31.197638,黄浦区,国际连锁,1,7,16,27
B0JDUAMS4Q,大满咖啡(中福城二期店),浙江中路215弄1号底层,121.479004,31.233338,黄浦区,独立/精品,1,19,48,69
B0LB9YP72A,% Arabica阿拉比卡咖啡(新天地时尚I店),兴业路123弄6-7号上海新天地时尚购物中心F1,121.474943,31.218898,黄浦区,国际连锁,1,19,34,66
B0FFKSZFZ9,COFFEE AROMA,瑞金二路272号(打浦桥地铁站1号口步行240米),121.466685,31.207887,黄浦区,独立/精品,1,4,24,38
B0H39YR24D,拾分之壹咖啡商店(九江路店),九江路501号105室(南京东路地铁站4号口步行120米),121.481916,31.235591,黄浦区,独立/精品,1,23,53,66
B0I19GOFFW,Umah(淮海路店),南昌路240号(淮海中路地铁站2号口步行250米),121.464847,31.217816,黄浦区,独立/精品,1,6,26,58
B00155MZ0T,星巴克(明珠店),肇嘉浜路212号明珠大酒店大堂,121.462655,31.203567,黄浦区,国际连锁,1,4,19,25
B0I12S90PN,MStand(新世界城店),南京西路2号新世界城L1层,121.473977,31.235588,黄浦区,独立/精品,1,15,41,59
B0KGO7HFX3,tartufo(巨鹿路393-395弄小区店),巨鹿路375号,121.459492,31.222702,黄浦区,独立/精品,0,7,38,35
B0G2CH8IKT,星巴克臻选(上海融创外滩壹号院店),中华路528号融创外滩壹号院9102-9103单元,121.498756,31.217673,黄浦区,国际连锁,1,3,0,7
B00155IS5C,花园饭店玫瑰咖啡厅(茂名南路店),茂名南路58号上海花园饭店1层,121.460309,31.21995,黄浦区,独立/精品,1,7,41,63
B0FFKSXZ8N,瑞幸咖啡(华美达和平酒店店),斜土路688号宿适皇冠酒店一层,121.472899,31.202328,黄浦区,本土连锁,1,6,16,18
B0H63M6FE4,星巴克(上海黄浦绿地缤纷城店),打浦路658弄1号101-102室,121.474062,31.193208,黄浦区,国际连锁,0,7,6,8
B0JALPX7YT,無名咖啡馆(钟和公寓店),南昌路与茂名南路交叉口西南60米,121.461362,31.215726,黄浦区,独立/精品,1,8,38,70
B0H32547UG,Manner Coffee(上海来福士广场店),西藏中路268号01层101D,121.47716,31.232272,黄浦区,本土连锁,1,19,44,72
B0JKPCZ7WJ,星巴克(日月光办公楼店),"徐家汇路608号1FA-1(打浦桥地铁站3号口旁,日月光办公楼大厅)",121.468812,31.207438,黄浦区,国际连锁,1,5,25,40
B0JKMPCR7W,瑞幸咖啡(南京东路第一医药店),南京路步行街第一药店底商,121.478779,31.235674,黄浦区,本土连锁,1,18,33,69
